year,quarter,month_name,month_num,Revenue,Cost,Gross_profit,Net_margin
2022,Q1,January,1,10200000,7830000,2370000,23.24
2022,Q1,February,2,10275000,7855000,2420000,23.55
2022,Q1,March,3,10950000,8120000,2830000,25.84
2022,Q2,April,4,11580000,8450000,3130000,27.03
2022,Q2,May,5,12310000,8730000,3580000,29.08
2022,Q2,June,6,13040000,9110000,3930000,30.14
2022,Q3,July,7,12625000,8945000,3680000,29.15
2022,Q3,August,8,12883000,9033000,3850000,29.88
2022,Q3,September,9,12217000,8737000,3480000,28.48
2022,Q4,October,10,13455000,9373000,4082000,30.34
2022,Q4,November,11,13968000,9663000,4305000,30.82
2022,Q4,December,12,14885000,10200000,4685000,31.47
2023,Q1,January,1,10645000,8100000,2545000,23.91
2023,Q1,February,2,10910000,8230000,2680000,24.56
2023,Q1,March,3,11425000,8444000,2981000,26.09
2023,Q2,April,4,11990000,8645000,3345000,27.90
2023,Q2,May,5,12548000,8896000,3652000,29.10
2023,Q2,June,6,13110000,9207000,3903000,29.77
2023,Q3,July,7,12705000,9022000,3683000,28.99
2023,Q3,August,8,12960000,9107000,3853000,29.73
2023,Q3,September,9,12470000,8907000,3563000,28.57
2023,Q4,October,10,13573000,9380000,4193000,30.89
2023,Q4,November,11,14034000,9600000,4434000,31.59
2023,Q4,December,12,15235000,10400000,4835000,31.74
2024,Q1,January,1,11116000,8358000,2758000,24.81
2024,Q1,February,2,11427000,8498000,2929000,25.63
2024,Q1,March,3,11917000,8718000,3199000,26.84
2024,Q2,April,4,12356000,8876000,3480000,28.16
2024,Q2,May,5,12805000,9085000,3720000,29.05
2024,Q2,June,6,13214000,9294000,3920000,29.67
2024,Q3,July,7,12989000,9199000,3790000,29.18
2024,Q3,August,8,13294000,9304000,3990000,30.01
2024,Q3,September,9,12784000,9084000,3700000,28.94
2024,Q4,October,10,13632000,9451000,4181000,30.67
2024,Q4,November,11,14080000,9720000,4360000,30.97
2024,Q4,December,12,15186000,10500000,4686000,30.86
